Election,State,State FIPS Code,District,"Seat Status (1=D Incumbent, 2=R Incumbent, 3=D Open, 4=R Open",Democrat Name,Democrat Vote,Republican Name,Republican Vote,Other Name,Other Vote,Other name 2,Other vote,Party Winner
H,AL,1,01,2,NA,0.0%,Jo Bonner,Uncontested,NA,0.0%,NA,0.0%,2
H,AL,1,02,4,Bobby Bright,50.2%,Jay Love,49.6%,NA,0.0%,NA,0.0%,1
H,AL,1,03,2,Joshua Segall,45.8%,Mike Rogers,54.0%,NA,0.0%,NA,0.0%,2
H,AL,1,04,2,Nicholas B. Sparks,25.1%,Robert Aderholt,74.8%,NA,0.0%,NA,0.0%,2
H,AL,1,05,3,Parker Griffith,51.5%,Wayne Parker,47.9%,NA,0.0%,NA,0.0%,1
H,AL,1,06,2,NA,0.0%,Spencer Bachus,Uncontested,NA,0.0%,NA,0.0%,2
H,AL,1,07,1,Artur Davis,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
S,AL,1,NA,2,Vivan Davis Figures,36.6%,Jeff Sessions,63.5%,NA,0.0%,NA,0.0%,2
H,AK,2,0,2,Ethan Berkowitz,45.0%,Don E. Young,50.4%,Don R. Wright,4.5%,NA,0.0%,2
S,AK,2,NA,2,Mark Begich,47.4%,Ted Stevens,47.0%,NA,0.0%,NA,0.0%,1
H,AZ,4,01,4,Ann Kirkpatrick,55.9%,Sydney Hay,39.4%,NA,0.0%,NA,0.0%,1
H,AZ,4,02,2,John Thrasher,37.2%,Trent Franks,59.4%,NA,0.0%,NA,0.0%,2
H,AZ,4,03,2,Bob Lord,42.1%,John B. Shadegg,54.1%,NA,0.0%,NA,0.0%,2
H,AZ,4,04,1,Ed Pastor,72.1%,Don Karg,21.2%,NA,0.0%,NA,0.0%,1
H,AZ,4,05,1,Harry Mitchell,53.2%,David Schweikert,43.6%,NA,0.0%,NA,0.0%,1
H,AZ,4,06,2,Rebecca Schneider,34.5%,Jeff Flake,62.4%,NA,0.0%,NA,0.0%,2
H,AZ,4,07,1,Raul Grijalva,63.3%,Joseph Sweeney,32.8%,NA,0.0%,NA,0.0%,1
H,AZ,4,08,1,Gabrielle Giffords,54.7%,"Timothy S. ""Tim"" Bee",42.8%,NA,0.0%,NA,0.0%,1
H,AR,5,01,1,Marion Berry,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,AR,5,02,1,Vic Snyder,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,AR,5,03,2,NA,0.0%,John Boozman,Uncontested,NA,0.0%,NA,0.0%,2
H,AR,5,04,1,Mike Ross,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
S,AR,5,NA,1,Mark Pryor,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,CA,6,01,1,Mike Thompson,68.2%,Zane Starkwolf,23.3%,NA,0.0%,NA,0.0%,1
H,CA,6,02,2,Jeffrey Morris,42.1%,Wally Herger,57.9%,NA,0.0%,NA,0.0%,2
H,CA,6,03,2,Bill Durston,44.0%,Dan Lungren,49.5%,NA,0.0%,NA,0.0%,2
H,CA,6,04,4,Charlie Brown,49.7%,Tom McClintock,50.3%,NA,0.0%,NA,0.0%,2
H,CA,6,05,1,Doris Matsui,74.3%,Paul A. Smith,20.9%,NA,0.0%,NA,0.0%,1
H,CA,6,06,1,Lynn Woolsey,71.7%,Mike Halliwell,24.1%,NA,0.0%,NA,0.0%,1
H,CA,6,07,1,George Miller,72.9%,Roger Allen Petersen,21.8%,NA,0.0%,NA,0.0%,1
H,CA,6,08,1,Nancy Pelosi,71.9%,Dana Walsh,9.7%,Cindy Sheehan,16.2%,NA,0.0%,1
H,CA,6,09,1,Barbara Lee,86.1%,Charles Hargrave,9.7%,NA ,0.0%,NA,0.0%,1
H,CA,6,10,1,Ellen O. Tauscher,65.2%,Nicholas Gerber,31.1%,NA ,0.0%,NA,0.0%,1
H,CA,6,11,1,Jerry McNerney,55.3%,Dean Andal,44.7%,NA ,0.0%,NA,0.0%,1
H,CA,6,12,1,Jackie Speier,75.2%,Greg Conlon,18.5%,NA ,0.0%,NA,0.0%,1
H,CA,6,13,1,"Fortney ""Pete"" Stark",76.5%,Raymond Chui,23.5%,NA ,0.0%,NA,0.0%,1
H,CA,6,14,1,Anna Eshoo,69.8%,Ronny Santana,22.3%,NA ,0.0%,NA,0.0%,1
H,CA,6,15,1,Michael M. Honda,71.7%,Joyce Stoer Cordi,23.3%,NA ,0.0%,NA,0.0%,1
H,CA,6,16,1,Zoe Lofgren,71.4%,Charel Winston,24.0%,NA ,0.0%,NA,0.0%,1
H,CA,6,17,1,Sam Farr,73.9%,Jeff Taylor,25.9%,NA ,0.0%,NA,0.0%,1
H,CA,6,18,1,Dennis Cardoza,Uncontested,NA,0.0%,NA ,0.0%,NA,0.0%,1
H,CA,6,19,2,NA,0.0%,George P. Radanovich,Uncontested,NA ,0.0%,NA,0.0%,2
H,CA,6,20,1,Jim Costa,74.4%,Jim Lopez,25.6%,NA ,0.0%,NA,0.0%,1
H,CA,6,21,2,Larry Johnson,31.6%,Devin Nunes,68.4%,NA ,0.0%,NA,0.0%,2
H,CA,6,22,2,NA ,0.0%,Kevin McCarthy,Uncontested,NA ,0.0%,NA,0.0%,2
H,CA,6,23,1,Lois G. Capps,68.1%,Matt T. Kokkonen,31.9%,NA ,0.0%,NA,0.0%,1
H,CA,6,24,2,Marta Ann Jorgensen,41.8%,Elton Gallegly,58.2%,NA ,0.0%,NA,0.0%,2
H,CA,6,25,2,Jackie Conaway,42.2%,Buck McKeon,57.8%,NA ,0.0%,NA,0.0%,2
H,CA,6,26,2,Russ Warner,40.4%,David Dreier,52.7%,NA ,0.0%,NA,0.0%,2
H,CA,6,27,1,Brad Sherman,68.6%,Navraj Singh,24.8%,NA ,0.0%,NA,0.0%,1
H,CA,6,28,1,Howard Berman,Uncontested,NA ,0.0%,NA ,0.0%,NA,0.0%,1
H,CA,6,29,1,Adam B. Schiff,69.0%,Charles Hahn,26.7%,NA ,0.0%,NA,0.0%,1
H,CA,6,30,1,Henry Waxman,Uncontested,NA ,0.0%,NA ,0.0%,NA,0.0%,1
H,CA,6,31,1,Xavier Becerra,Uncontested,NA ,0.0%,NA ,0.0%,NA,0.0%,1
H,CA,6,32,1,Hilda Solis,Uncontested,NA ,0.0%,NA ,0.0%,NA,0.0%,1
H,CA,6,33,1,Diane E. Watson,87.6%,David C. Crowley II,12.4%,NA ,0.0%,NA,0.0%,1
H,CA,6,34,1,Lucille Roybal-Allard,77.1%,Christopher Balding,22.9%,NA ,0.0%,NA,0.0%,1
H,CA,6,35,1,Maxine Waters,82.6%,Ted Hayes,13.3%,NA ,0.0%,NA,0.0%,1
H,CA,6,36,1,Jane Harman,68.7%,Brian Gibson,31.3%,NA ,0.0%,NA,0.0%,1
H,CA,6,37,1,Laura Richardson,Uncontested,NA ,0.0%,NA ,0.0%,NA,0.0%,1
H,CA,6,38,1,Grace Flores Napolitano,Uncontested,NA ,0.0%,NA ,0.0%,NA,0.0%,1
H,CA,6,39,1,Linda T. Sanchez,69.7%,Diane Lenning,30.3%,NA ,0.0%,NA,0.0%,1
H,CA,6,40,2,Christina Avalos,37.4%,Ed Royce,62.6%,NA ,0.0%,NA,0.0%,2
H,CA,6,41,2,Tim Prince,38.3%,Jerry Lewis,61.7%,NA ,0.0%,NA,0.0%,2
H,CA,6,42,2,"Edwin ""Ed"" Chau",39.8%,Gary G. Miller,60.2%,NA ,0.0%,NA,0.0%,2
H,CA,6,43,1,Joe Baca,69.2%,John Roberts,30.8%,NA ,0.0%,NA,0.0%,1
H,CA,6,44,2,Bill Hedrick,48.8%,Ken Calvert,51.2%,NA ,0.0%,NA,0.0%,2
H,CA,6,45,2,Julie Bornstein,41.7%,Mary Bono Mack,58.3%,NA ,0.0%,NA,0.0%,2
H,CA,6,46,2,Debbie Cook,43.6%,Dana Rohrbacher,52.6%,NA ,0.0%,NA,0.0%,2
H,CA,6,47,1,Loretta Sanchez,69.5%,Rosie Avila,25.5%,NA ,0.0%,NA,0.0%,1
H,CA,6,48,2,Steve Young,40.6%,John Campbell,55.7%,NA ,0.0%,NA,0.0%,2
H,CA,6,49,2,Robert Hamilton,37.5%,Darrell Issa,58.3%,NA ,0.0%,NA,0.0%,2
H,CA,6,50,2,Nick Leibham,45.2%,Brian Bilbray,50.3%,NA ,0.0%,NA,0.0%,2
H,CA,6,51,1,Bob Filner,72.8%,David Lee Joy,24.2%,NA ,0.0%,NA,0.0%,1
H,CA,6,52,4,Mike Lumpkin,39.0%,Duncan D. Hunter,56.4%,NA ,0.0%,NA,0.0%,2
H,CA,6,53,1,Susan A. Davis,68.5%,Michael Crimmins,27.5%,NA ,0.0%,NA,0.0%,1
H,CO,8,01,1,Diana DeGette,72.0%,George C. Lilly,23.8%,NA ,0.0%,NA,0.0%,1
H,CO,8,02,3,Jared Polis,62.6%,Scott Starin,33.9%,NA ,0.0%,NA,0.0%,1
H,CO,8,03,1,John T. Salazar,61.6%,Wayne Wolf,38.4%,NA ,0.0%,NA,0.0%,1
H,CO,8,04,2,Betsy Markey,56.2%,Marilyn N. Musgrave,43.8%,NA ,0.0%,NA,0.0%,1
H,CO,8,05,2,Hal Bidlack,37.0%,Doug Lamborn,60.0%,NA ,0.0%,NA,0.0%,2
H,CO,8,06,4,Hank Eng,39.3%,Mike Coffman,60.7%,NA ,0.0%,NA,0.0%,2
H,CO,8,07,1,Ed Perlmutter,63.5%,John William Lerew,36.5%,NA ,0.0%,NA,0.0%,1
S,CO,8,NA,4,Mark Udall,52.8%,Bob Schaffer,42.5%,NA ,0.0%,NA,0.0%,1
H,CT,9,01,1,John B. Larson,71.6%,Joe Visconti,26.0%,NA ,0.0%,NA,0.0%,1
H,CT,9,02,1,Joe Courtney,65.7%,Sean Patrick Sullivan,32.4%,NA ,0.0%,NA,0.0%,1
H,CT,9,03,1,Rosa L. DeLauro,77.4%,"Boaz ""Bo"" Itshaky",19.7%,NA ,0.0%,NA,0.0%,1
H,CT,9,04,2,Jim Himes,51.3%,Christopher Shays,47.6%,NA ,0.0%,NA,0.0%,1
H,CT,9,05,1,Chris Murphy,59.3%,David J. Cappiello,39.0%,NA ,0.0%,NA,0.0%,1
G,DE,10,NA,3,Jack Markell,67.5%,William Swain Lee,32.0%,NA ,0.0%,NA,0.0%,1
H,DE,10,0,2,Karen Hartley-Nagle,38.0%,Michael N. Castle,61.1%,NA ,0.0%,NA,0.0%,2
S,DE,10,NA,1,Joe Biden,64.7%,Christine O'Donnell,35.3%,NA ,0.0%,NA,0.0%,1
H,FL,12,01,2,"James ""Jim"" Bryan",29.8%,Jeff Miller,70.2%,NA ,0.0%,NA,0.0%,2
H,FL,12,02,1,Allen Boyd,61.9%,Mark Mulligan,38.1%,NA ,0.0%,NA,0.0%,1
H,FL,12,03,1,Corrine Brown,Uncontested,NA ,0.0%,NA ,0.0%,NA,0.0%,1
H,FL,12,04,2,Jay McGovern,34.7%,Ander Crenshaw,65.3%,NA ,0.0%,NA,0.0%,2
H,FL,12,05,2,John Russell,38.8%,Ginny Brown-Waite,61.2%,NA ,0.0%,NA,0.0%,2
H,FL,12,06,2,Tim Cunha,39.1%,Clifford B. Stearns,60.9%,NA ,0.0%,NA,0.0%,2
H,FL,12,07,2,Faye Armitage,38.0%,John L. Mica,62.0%,NA ,0.0%,NA,0.0%,2
H,FL,12,08,2,Alan Grayson,52.0%,Ric Keller,48.0%,NA ,0.0%,NA,0.0%,1
H,FL,12,09,2,Bill Mitchell,36.3%,Gus Michael Bilirakis,62.2%,NA ,0.0%,NA,0.0%,2
H,FL,12,10,2,Bob Hackworth,39.3%,"C.W. ""Bill"" Young",60.7%,NA ,0.0%,NA,0.0%,2
H,FL,12,11,1,Kathy Castor,71.7%,"Eddie Adams, Jr.",28.3%,NA ,0.0%,NA,0.0%,1
H,FL,12,12,2,Doug Tudor,42.5%,Adam H. Putnam,57.5%,NA ,0.0%,NA,0.0%,2
H,FL,12,13,2,Christine L. Jennings,37.5%,Vern Buchanan,55.5%,Jan Schneider,5.5%,NA,0.0%,2
H,FL,12,14,2,Robert M. Neeld,24.8%,Connie Mack,59.4%,NA,0.0%,NA,0.0%,2
H,FL,12,15,4,Steve Blythe,42.0%,Bill Posey,53.1%,NA,0.0%,NA,0.0%,2
H,FL,12,16,1,Tim Mahoney,39.9%,Tom Rooney,60.1%,NA,0.0%,NA,0.0%,2
H,FL,12,17,1,Kendrick B. Meek,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,FL,12,18,2,Annette Taddeo,42.1%,Ileana Ros-Lehtinen,57.9%,NA,0.0%,NA,0.0%,2
H,FL,12,19,1,Robert Wexler,66.2%,Edward J. Lynch,27.2%,NA,0.0%,NA,0.0%,1
H,FL,12,20,1,Debbie Wasserman-Schultz,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,FL,12,21,2,Raul L. Martinez,42.1%,Lincoln Diaz-Balart,57.9%,NA,0.0%,NA,0.0%,2
H,FL,12,22,1,Ron Klein,54.7%,Allen B. West,45.3%,NA,0.0%,NA,0.0%,1
H,FL,12,23,1,Alcee L. Hastings ,82.2%,Marion D. Thorpe Jr.,17.8%,NA,0.0%,NA,0.0%,1
H,FL,12,24,2,Suzanne M. Kosmas,57.2%,Tom Feeney,41.1%,NA,0.0%,NA,0.0%,1
H,FL,12,25,2,"Jose Antonio ""Joe"" Garica",46.9%,Mario Diaz-Balart,53.1%,NA,0.0%,NA,0.0%,2
H,GA,13,01,2,Bill Gillespie,33.5%,Jack Kingston,66.5%,NA,0.0%,NA,0.0%,2
H,GA,13,02,1,Sanford Bishop,68.9%,Lee Ferrell,31.1%,NA,0.0%,NA,0.0%,1
H,GA,13,03,2,Stephen Camp,34.3%,Lynn Westmoreland,65.7%,NA,0.0%,NA,0.0%,2
H,GA,13,04,1,"Henry C. ""Hank"" Johnson, Jr.",Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,GA,13,05,1,John Lewis,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,GA,13,06,2,Bill Jones,31.5%,Tom Price,68.5%,NA,0.0%,NA,0.0%,2
H,GA,13,07,2,Douglas Heckman,38.0%,John Linder,62.0%,NA,0.0%,NA,0.0%,2
H,GA,13,08,1,Jim Marshall,57.2%,Rick Goddard,42.8%,NA,0.0%,NA,0.0%,1
H,GA,13,09,2,Jeff Scott,24.5%,Nathan Deal,75.5%,NA,0.0%,NA,0.0%,2
H,GA,13,10,2,Bobby Saxon,39.3%,Paul Broun,60.7%,NA,0.0%,NA,0.0%,2
H,GA,13,11,2,"Hugh ""Bud"" Gammon",31.8%,Phil Gingrey,68.2%,NA,0.0%,NA,0.0%,2
H,GA,13,12,1,John Barrow,66.0%,John Stone,34.0%,NA,0.0%,NA,0.0%,1
H,GA,13,13,1,David Scott,69.0%,Deborah Honeycutt,31.0%,NA,0.0%,NA,0.0%,1
